timestamp,open,high,low,close,volume
2026-05-20 00:00:00+00:00,76834.37,77854.9,76499.41,77552.02,3288.94722
2026-05-21 00:00:00+00:00,77556.21,78216.15,76722.59,77616.72,3645.44476
2026-05-22 00:00:00+00:00,77616.72,77909.17,75339.73,75541.1,3688.64094
2026-05-23 00:00:00+00:00,75541.1,77416.86,74256.94,76755.67,2539.25032
2026-05-24 00:00:00+00:00,76750.21,77541.62,76091.63,77074.0,1792.20329
2026-05-25 00:00:00+00:00,77074.0,77923.0,76916.17,77316.28,1215.84925
2026-05-26 00:00:00+00:00,77316.28,78088.95,75664.3,75931.14,3967.52043
2026-05-27 00:00:00+00:00,75938.26,76168.25,74229.72,74444.48,3500.58351
2026-05-28 00:00:00+00:00,74436.21,74582.99,72570.81,73623.69,4196.89092
2026-05-29 00:00:00+00:00,73623.7,74346.29,72504.01,73458.65,4118.85743
2026-05-30 00:00:00+00:00,73463.06,74148.26,73200.0,73888.02,1162.10363
2026-05-31 00:00:00+00:00,73888.02,74279.62,73386.9,73691.71,1320.06695
2026-06-01 00:00:00+00:00,73691.71,74099.18,70676.7,71414.74,4534.58261
2026-06-02 00:00:00+00:00,71414.74,71417.46,66188.34,66751.94,6534.20963
2026-06-03 00:00:00+00:00,66751.94,67520.04,64084.89,64144.92,5355.81239
2026-06-04 00:00:00+00:00,64144.93,64774.14,61360.48,63884.91,11756.7656
2026-06-05 00:00:00+00:00,63884.91,63986.27,59129.27,61061.17,12972.51987
2026-06-06 00:00:00+00:00,61059.01,61529.0,59480.45,60888.73,6292.10288
2026-06-07 00:00:00+00:00,60885.18,64300.21,60741.34,63332.76,4720.3806
2026-06-08 00:00:00+00:00,63337.16,64234.24,62400.24,63091.06,4593.1723
2026-06-09 00:00:00+00:00,63092.87,63534.43,60766.01,61720.02,5063.03131
2026-06-10 00:00:00+00:00,61730.01,62871.58,60730.62,61510.42,5146.5264
2026-06-11 00:00:00+00:00,61509.08,63934.85,61509.08,63630.25,4167.69235
2026-06-12 00:00:00+00:00,63633.79,64403.0,62833.95,63578.48,4410.758
2026-06-13 00:00:00+00:00,63578.48,64775.0,63432.57,64457.06,1503.21106
2026-06-14 00:00:00+00:00,64455.01,65808.89,63682.92,65748.38,1929.07022
2026-06-15 00:00:00+00:00,65740.88,67302.39,65348.53,66316.01,3535.78604
2026-06-16 00:00:00+00:00,66316.01,66996.64,65350.85,65679.79,3143.80997
2026-06-17 00:00:00+00:00,65683.05,66448.61,64023.36,64417.0,4757.7523
